id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка;X0;X1;X2
1;0;6656;1077;82;6.616;3.836;7.216;5.428;1.592;1.788;47.102;5.439;5.377;5.316;5857.573;3.379;4.744;6.157;0.66;0.033;-1.112;0.812;0.149;0.025;1;0;0
1;0;6625;1077;74;5.802;3.226;6.143;4.719;1.493;1.424;51.18;4.699;4.639;4.579;5060.852;2.917;4.081;5.323;0.555;0.024;-1.114;0.745;0.159;0.023;1;0;0
1;0;6592;1077;76;5.347;3.027;5.718;4.363;1.336;1.356;49.625;4.34;4.282;4.224;4674.48;2.691;3.7;4.967;0.497;0.022;-1.263;0.705;0.162;0.021;1;0;0
1;0;6584;1077;81;5.357;3.005;5.747;4.355;1.35;1.393;49.22;4.349;4.291;4.233;4683.406;2.742;3.743;4.952;0.496;0.025;-1.195;0.704;0.162;0.021;1;0;0
1;2;6575;1077;80;5.278;2.941;5.7;4.272;1.331;1.429;48.23;4.28;4.221;4.162;4609.759;2.759;3.696;4.91;0.498;0.011;-1.197;0.705;0.165;0.021;0;1;0
1;0;6509;1077;86;6.082;3.614;6.706;5.119;1.505;1.586;48.683;5.068;5.015;4.961;5458.724;3.092;4.405;5.687;0.533;-0.024;-1.166;0.73;0.144;0.022;1;0;0
1;2;6500;1077;97;7.816;3.121;19.369;4.889;1.768;14.48;10.879;5.148;4.906;4.735;5544.414;16.248;4.412;5.296;3.887;3.35;14.387;1.972;0.383;0.06;0;1;0
1;4;6475;1077;78;6.522;3.592;7.008;5.211;1.619;1.797;47.401;5.269;5.201;5.132;5675.027;3.416;4.567;5.965;0.716;0.058;-1.126;0.846;0.161;0.026;0;0;1
1;2;6418;1077;83;5.777;3.31;6.218;4.762;1.452;1.456;49.93;4.717;4.657;4.598;5079.922;2.908;4.066;5.344;0.549;-0.009;-1.163;0.741;0.157;0.023;0;1;0
1;2;6417;1077;77;5.404;3.058;5.948;4.392;1.334;1.556;46.15;4.387;4.333;4.278;4724.862;2.89;3.801;4.917;0.472;0.062;-1.045;0.687;0.157;0.021;0;1;0
1;0;6417;1077;95;5.454;3.123;5.897;4.605;1.481;1.292;53.407;4.517;4.458;4.398;4864.634;2.774;3.84;5.159;0.515;-0.152;-1.282;0.718;0.159;0.022;1;0;0
1;0;6416;1077;81;5.051;2.928;5.537;4.182;1.254;1.355;48.057;4.18;4.132;4.084;4501.744;2.609;3.715;4.713;0.388;-0.063;-1.005;0.623;0.149;0.019;1;0;0
1;0;6333;1077;79;6.177;3.621;6.771;5.007;1.386;1.764;43.999;5.038;4.973;4.909;5425.414;3.15;4.328;5.739;0.641;0.073;-1.196;0.8;0.159;0.024;1;0;0
1;0;6323;1077;76;5.51;3.169;6.047;4.543;1.374;1.504;47.743;4.488;4.43;4.372;4834.11;2.878;3.919;5.035;0.509;-0.034;-1.004;0.713;0.159;0.022;1;0;0
1;0;6242;1077;80;6.115;3.626;6.678;5.026;1.401;1.651;45.895;5.03;4.973;4.915;5417.625;3.052;4.36;5.693;0.572;0.051;-1.215;0.757;0.15;0.023;1;0;0
1;2;6239;1077;82;5.948;3.452;6.411;4.92;1.468;1.491;49.608;4.869;4.808;4.747;5243.603;2.96;4.196;5.482;0.582;0.006;-1.173;0.763;0.157;0.023;0;1;0
1;4;6237;1077;82;6.176;3.513;6.668;5.116;1.602;1.552;50.8;5.051;4.985;4.918;5439.848;3.154;4.387;5.734;0.648;-0.05;-1.089;0.805;0.159;0.025;0;0;1
1;0;6223;1077;82;5.669;3.309;6.168;4.651;1.342;1.517;46.935;4.643;4.585;4.527;5000.428;2.859;4.013;5.25;0.528;0.016;-1.144;0.727;0.156;0.022;1;0;0
1;0;6128;1077;86;5.53;3.296;5.994;4.572;1.276;1.422;47.309;4.572;4.519;4.466;4923.571;2.698;4.005;5.18;0.47;-0.05;-1.143;0.686;0.15;0.021;1;0;0
1;0;6114;1077;75;5.336;3.165;5.788;4.497;1.333;1.291;50.795;4.45;4.406;4.361;4792.755;2.624;3.903;4.942;0.387;-0.068;-1.092;0.622;0.14;0.019;1;0;0
1;4;6064;1077;79;6.786;3.865;7.39;5.498;1.633;1.893;46.319;5.5;5.428;5.355;5923.577;3.526;4.682;6.268;0.784;0.039;-1.201;0.886;0.161;0.027;0;0;1
1;0;6051;1077;87;5.258;3.074;5.839;4.358;1.284;1.48;46.452;4.343;4.294;4.245;4677.541;2.765;3.759;4.839;0.419;0.03;-1.139;0.647;0.149;0.02;1;0;0
1;2;6011;1077;75;6.337;3.57;6.842;5.161;1.592;1.68;48.648;5.145;5.081;5.017;5541.037;3.272;4.439;5.802;0.651;0.081;-1.097;0.807;0.157;0.025;0;1;0
1;0;5997;1077;118;62.598;2.705;104.277;15.125;12.421;89.152;12.228;26.083;16.349;10.153;28091.701;101.572;7.06;39.77;568.727;1.143;0.537;23.848;0.914;0.727;1;0;0
1;2;5953;1077;78;5.07;2.931;5.396;4.204;1.273;1.192;51.65;4.173;4.124;4.075;4494.043;2.465;3.685;4.696;0.394;-0.085;-1.018;0.628;0.15;0.019;0;1;0
1;0;5935;1077;100;5.898;3.442;7.095;4.81;1.368;2.285;37.44;4.816;4.759;4.703;5186.732;3.653;4.143;5.474;0.545;0.119;-1.189;0.738;0.153;0.022;1;0;0
1;0;5915;1077;57;94.368;2.196;162.151;3.795;1.599;158.356;1.0;18.606;7.771;4.916;20038.752;159.955;3.533;18.821;921.118;2.505;5.887;30.35;1.631;0.925;1;0;0
1;0;5915;1077;96;51.007;2.852;78.402;14.794;11.943;63.607;15.808;20.377;13.172;8.565;21946.346;75.55;5.273;31.258;315.921;0.96;-0.034;17.774;0.872;0.542;1;0;0
1;0;5902;1077;110;40.732;2.68;101.471;11.424;8.744;90.047;8.851;16.984;11.845;8.439;18291.377;98.791;5.802;24.986;220.142;1.551;2.666;14.837;0.874;0.452;1;0;0
1;0;5900;1077;116;32.677;2.933;69.09;13.917;10.984;55.173;16.603;16.455;12.836;9.854;17722.045;66.157;7.236;22.681;133.339;1.252;1.609;11.547;0.702;0.352;1;0;0
1;0;5892;1077;98;57.858;2.739;82.195;13.57;10.831;68.625;13.632;21.091;13.325;8.625;22714.94;79.456;5.546;33.128;380.627;1.121;0.267;19.51;0.925;0.594;1;0;0
1;0;5888;1077;108;6.008;3.489;6.474;5.05;1.561;1.424;52.285;4.953;4.884;4.814;5334.278;2.985;4.229;5.678;0.664;-0.101;-1.34;0.815;0.164;0.025;1;0;0
1;2;5888;1077;112;50.335;5.155;94.752;25.681;20.526;69.072;22.909;28.072;24.541;21.321;30233.36;89.597;17.01;34.425;223.69;1.266;1.907;14.956;0.533;0.456;0;1;0
1;4;5886;1077;79;6.563;3.731;7.07;5.267;1.536;1.803;45.998;5.293;5.222;5.152;5700.301;3.339;4.53;6.046;0.739;0.084;-1.18;0.86;0.162;0.026;0;0;1
1;4;5885;1077;106;54.729;5.197;85.98;22.463;17.266;63.518;21.373;27.239;22.526;18.501;29336.814;80.783;14.51;36.842;280.442;0.95;0.13;16.746;0.615;0.51;0;0;1
1;0;5847;1077;71;80.606;2.593;126.591;9.957;7.364;116.634;5.939;22.901;12.239;7.385;24664.128;123.998;4.215;29.863;696.845;1.532;1.337;26.398;1.153;0.804;1;0;0
1;0;5823;1077;52;43.149;3.046;70.087;4.757;1.711;65.33;2.552;9.707;6.03;4.936;10454.151;67.041;3.666;5.81;200.154;2.881;7.294;14.148;1.458;0.431;1;0;0
1;0;5817;1077;93;8.136;3.646;14.612;5.658;2.012;8.953;18.352;5.723;5.536;5.379;6163.172;10.966;4.457;6.27;2.642;2.006;6.049;1.625;0.284;0.05;1;0;0
1;0;5813;1077;67;113.574;3.021;156.761;9.289;6.268;147.472;4.077;29.677;12.424;6.816;31962.41;153.74;3.594;41.773;1582.999;1.52;0.953;39.787;1.341;1.212;1;0;0
1;0;5802;1077;65;18.874;3.254;37.379;5.266;2.012;32.113;5.896;7.012;5.763;5.166;7551.782;34.125;4.033;5.835;36.077;2.74;7.066;6.006;0.857;0.183;1;0;0
1;0;5802;1077;39;45.692;3.062;60.232;4.94;1.878;55.292;3.285;9.34;6.115;5.036;10058.794;57.17;3.754;5.574;148.818;2.638;6.073;12.199;1.306;0.372;1;0;0
1;0;5802;1077;78;68.601;3.031;128.512;9.547;6.516;118.965;5.192;19.856;10.527;6.476;21384.817;125.481;3.378;24.944;551.726;1.693;2.233;23.489;1.183;0.716;1;0;0
1;0;5802;1077;63;38.203;3.134;80.074;5.096;1.962;74.978;2.55;10.029;6.359;5.239;10801.028;76.94;3.866;6.215;204.903;2.93;7.851;14.314;1.427;0.436;1;0;0
1;0;5802;1077;59;40.882;3.089;83.732;5.138;2.049;78.594;2.541;10.384;6.383;5.244;11183.034;80.643;3.864;6.156;243.75;2.997;8.226;15.612;1.504;0.476;1;0;0
1;0;5795;1077;55;54.943;2.932;100.275;4.675;1.742;95.6;1.79;12.374;6.461;4.967;13327.297;97.343;3.652;5.821;411.692;2.709;6.322;20.29;1.64;0.618;1;0;0
1;0;5791;1077;80;85.506;2.676;192.438;7.763;5.087;184.675;2.681;24.3;10.428;6.026;26171.069;189.762;3.198;27.176;1353.483;2.345;4.935;36.79;1.514;1.121;1;0;0
1;0;5784;1077;69;29.463;3.128;68.308;5.515;2.387;62.793;3.662;9.694;6.85;5.757;10440.703;65.18;4.555;7.586;130.719;2.763;7.158;11.433;1.179;0.348;1;0;0
1;4;5782;1077;74;67.893;2.622;132.917;4.604;1.981;128.313;1.521;15.946;8.202;5.675;17173.968;130.295;4.104;15.792;565.419;2.662;7.057;23.779;1.491;0.725;0;0;1
1;4;5782;1077;64;52.917;2.437;121.119;4.499;2.061;116.62;1.737;15.608;8.468;5.694;16809.338;118.682;3.963;19.24;401.232;2.136;4.422;20.031;1.283;0.61;0;0;1
1;0;5781;1077;100;81.336;2.261;202.638;11.438;9.177;191.2;4.58;28.713;12.133;6.659;30924.168;200.377;3.364;27.164;1862.126;2.268;4.363;43.152;1.503;1.315;1;0;0
1;0;5779;1077;87;38.823;2.921;74.787;4.311;1.391;70.475;1.935;12.221;7.394;5.354;13161.916;71.866;3.498;16.522;192.949;1.773;2.547;13.891;1.137;0.423;1;0;0
1;2;5779;1077;140;40.373;5.187;66.258;22.938;17.751;43.32;29.066;24.775;22.621;20.496;26683.162;61.071;16.586;31.404;108.404;0.677;0.08;10.412;0.42;0.317;0;1;0
1;0;5776;1077;85;46.247;2.673;78.297;4.786;2.113;73.511;2.794;13.028;7.932;5.755;14030.636;75.624;4.257;17.767;232.222;2.046;3.845;15.239;1.17;0.464;1;0;0
1;0;5774;1077;60;76.835;2.372;155.216;4.195;1.823;151.021;1.192;17.872;8.212;5.31;19248.593;152.844;3.717;17.801;767.406;2.468;5.564;27.702;1.55;0.844;1;0;0
1;2;5771;1077;81;5.884;3.359;6.338;4.855;1.495;1.483;50.204;4.833;4.775;4.715;5205.481;2.979;4.187;5.472;0.555;-0.05;-1.129;0.745;0.154;0.023;0;1;0
1;0;5770;1077;64;83.482;1.871;128.393;3.603;1.732;124.79;1.369;20.05;8.059;4.637;21594.299;126.522;2.983;19.754;854.265;1.779;1.986;29.228;1.458;0.891;1;0;0
1;0;5756;1077;92;48.652;2.777;99.646;4.098;1.321;95.547;1.364;13.762;7.442;5.127;14821.45;96.868;3.357;20.317;294.339;1.749;2.255;17.156;1.247;0.523;1;0;0
1;0;5751;1077;76;44.135;2.842;118.81;4.145;1.303;114.665;1.123;12.001;6.643;4.941;12925.614;115.968;3.406;12.055;321.251;2.936;9.057;17.923;1.493;0.546;1;0;0
1;0;5742;1077;78;63.202;2.563;123.839;6.134;3.571;117.705;2.945;18.848;9.586;6.06;20299.385;121.276;3.482;26.556;551.518;1.705;2.222;23.484;1.246;0.716;1;0;0
1;0;5742;1077;87;65.719;2.395;126.096;5.852;3.457;120.244;2.795;18.505;9.143;5.838;19929.588;123.701;3.452;25.345;593.86;1.863;2.772;24.369;1.317;0.743;1;0;0
1;4;5734;1077;91;4.787;2.975;5.047;3.983;1.007;1.064;48.624;3.977;3.938;3.898;4283.261;2.071;3.45;4.483;0.312;0.057;-1.254;0.558;0.14;0.017;0;0;1
1;4;5734;1077;80;4.552;2.832;4.85;3.8;0.967;1.05;47.961;3.789;3.754;3.719;4080.514;2.017;3.308;4.186;0.267;0.188;-1.135;0.517;0.136;0.016;0;0;1
1;4;5734;1077;77;4.501;2.781;4.892;3.724;0.943;1.168;44.667;3.733;3.699;3.666;4020.33;2.111;3.27;4.129;0.253;0.182;-1.096;0.503;0.135;0.015;0;0;1
