id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Мода;Частота;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка;Тест Граббса;p_value
1;0;6656;814;166;405.199;3.836;7.216;5.43;1.594;1.786;0.192;5.438;5.377;5.315;5.48;2;4426.553;3.379;4.743;6.165;0.657;0.016;-1.141;0.811;0.149;0.028;0.0;1.0
1;0;6625;814;162;396.123;3.226;6.143;4.718;1.492;1.425;-0.066;4.698;4.637;4.576;5.831;2;3824.009;2.917;4.079;5.316;0.562;0.047;-1.092;0.75;0.16;0.026;0.0;1.0
1;0;6592;814;157;412.452;3.047;5.718;4.363;1.316;1.356;0.04;4.343;4.284;4.224;3.353;2;3535.483;2.672;3.682;4.987;0.509;0.026;-1.287;0.714;0.164;0.025;0.0;1.0
0;2;6584;814;160;386.406;3.612;6.39;4.974;1.362;1.416;0.054;5.036;4.984;4.931;3.871;2;4099.15;2.778;4.432;5.681;0.518;0.006;-1.156;0.72;0.143;0.025;0.0;1.0
1;0;6584;814;158;415.38;3.005;5.7;4.364;1.359;1.336;-0.023;4.345;4.286;4.226;4.184;2;3536.78;2.695;3.726;4.949;0.508;0.014;-1.203;0.713;0.164;0.025;0.0;1.0
0;0;6576;814;147;415.381;3.441;6.508;4.895;1.454;1.613;0.159;4.905;4.844;4.784;4.423;2;3992.518;3.067;4.264;5.563;0.59;0.089;-1.119;0.768;0.157;0.027;0.0;1.0
1;2;6575;814;150;409.66;2.941;5.7;4.283;1.342;1.417;0.075;4.292;4.232;4.172;3.375;2;3493.528;2.759;3.701;4.93;0.503;0.003;-1.194;0.709;0.165;0.025;0.0;1.0
0;0;6567;814;183;416.169;3.394;6.22;4.786;1.392;1.434;0.042;4.749;4.702;4.655;3.741;2;3865.503;2.826;4.183;5.303;0.441;0.01;-1.16;0.664;0.14;0.023;0.0;1.0
0;0;6552;814;158;401.829;3.402;6.561;4.864;1.462;1.697;0.235;4.891;4.823;4.755;4.213;2;3981.339;3.159;4.22;5.558;0.656;0.052;-1.028;0.81;0.166;0.028;0.0;1.0
0;2;6535;814;153;415.19;3.826;7.34;5.468;1.642;1.872;0.23;5.436;5.364;5.292;4.709;2;4425.166;3.514;4.693;6.231;0.771;0.01;-1.206;0.878;0.161;0.031;0.0;1.0
0;2;6526;814;161;396.466;3.816;6.914;5.315;1.499;1.599;0.099;5.328;5.271;5.214;3.816;1;4336.789;3.098;4.714;5.957;0.595;0.009;-1.023;0.771;0.145;0.027;0.0;1.0
