id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Мода;Частота;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка;Тест Граббса;p_value
1;2;4255;1665;358;841.52;2.451;4.942;3.655;1.204;1.287;0.083;3.636;3.584;3.532;2.697;2;6053.644;2.492;3.13;4.116;0.371;0.077;-1.048;0.609;0.167;0.015;0.0;1.0
1;2;3623;1665;317;842.792;2.605;5.389;4.006;1.402;1.383;-0.018;3.95;3.886;3.822;2.844;2;6576.548;2.785;3.313;4.517;0.487;-0.051;-1.139;0.698;0.177;0.017;0.0;1.0
1;3;3702;1665;337;823.549;2.99;5.971;4.35;1.36;1.621;0.261;4.368;4.302;4.235;3.083;2;7272.801;2.981;3.724;5.042;0.569;0.035;-1.221;0.754;0.173;0.018;0.0;1.0
1;3;3839;1665;346;826.168;2.732;5.279;3.939;1.207;1.34;0.133;3.923;3.868;3.813;2.97;2;6531.348;2.547;3.338;4.441;0.423;0.054;-1.066;0.65;0.166;0.016;0.0;1.0
1;3;3930;1665;348;832.773;3.221;6.474;4.685;1.464;1.789;0.325;4.688;4.616;4.544;3.483;2;7804.895;3.253;3.959;5.417;0.662;0.069;-1.16;0.814;0.174;0.02;0.0;1.0
1;3;4079;1665;321;861.788;2.724;5.594;4.109;1.385;1.485;0.1;4.084;4.016;3.947;3.087;2;6800.188;2.869;3.443;4.708;0.547;0.011;-1.158;0.74;0.181;0.018;0.0;1.0
1;3;4170;1665;330;812.821;2.557;5.309;3.909;1.353;1.4;0.047;3.861;3.798;3.734;2.731;2;6429.006;2.752;3.238;4.437;0.474;-0.06;-1.186;0.688;0.178;0.017;0.0;1.0
1;4;5388;1665;346;820.734;2.968;5.891;4.381;1.413;1.51;0.097;4.389;4.324;4.259;3.225;2;7307.168;2.923;3.75;5.032;0.559;0.041;-1.187;0.747;0.17;0.018;0.0;1.0
1;2;5536;1665;335;819.475;2.523;5.059;3.757;1.235;1.301;0.067;3.717;3.663;3.608;2.713;2;6189.476;2.536;3.18;4.214;0.395;0.011;-1.047;0.628;0.169;0.015;0.0;1.0
1;2;5468;1665;351;829.194;2.886;5.836;4.2;1.313;1.637;0.323;4.266;4.201;4.137;3.255;2;7103.481;2.95;3.634;4.923;0.553;0.152;-1.135;0.743;0.174;0.018;0.0;1.0
1;2;5377;1665;316;846.627;2.593;5.187;3.849;1.256;1.338;0.082;3.83;3.769;3.707;3.079;2;6376.208;2.594;3.236;4.384;0.458;0.039;-1.116;0.677;0.177;0.017;0.0;1.0
1;2;5308;1665;360;832.689;3.122;6.327;4.562;1.44;1.765;0.324;4.579;4.509;4.439;3.695;2;7624.85;3.205;3.873;5.269;0.636;0.092;-1.165;0.797;0.174;0.02;0.0;1.0
1;2;5229;1665;324;843.954;2.512;5.284;3.837;1.325;1.447;0.122;3.812;3.757;3.701;3.164;2;6347.391;2.772;3.293;4.293;0.414;0.054;-0.98;0.643;0.169;0.016;0.0;1.0
1;2;5137;1665;357;841.65;2.911;5.939;4.173;1.261;1.766;0.505;4.231;4.166;4.103;3.235;2;7044.186;3.028;3.606;4.864;0.544;0.168;-1.133;0.738;0.174;0.018;0.0;1.0
1;2;4773;1665;325;811.175;3.086;6.28;4.472;1.385;1.808;0.423;4.541;4.471;4.401;3.539;2;7560.036;3.193;3.887;5.254;0.625;0.088;-1.154;0.79;0.174;0.019;0.0;1.0
1;2;4659;1665;310;843.51;2.938;6.102;4.466;1.528;1.636;0.108;4.462;4.389;4.316;3.265;2;7429.009;3.164;3.761;5.178;0.634;0.013;-1.22;0.796;0.178;0.02;0.0;1.0
1;2;4545;1665;312;844.135;3.34;6.93;4.951;1.611;1.979;0.368;4.987;4.906;4.825;3.656;2;8303.111;3.59;4.233;5.739;0.799;0.089;-1.135;0.894;0.179;0.022;0.0;1.0
1;2;4387;1665;301;831.176;2.888;6.082;4.49;1.602;1.592;-0.009;4.477;4.404;4.33;3.344;2;7454.228;3.194;3.795;5.149;0.641;0.026;-1.1;0.801;0.179;0.02;0.0;1.0
1;1;4283;1665;324;861.065;2.959;5.914;4.348;1.389;1.566;0.178;4.362;4.291;4.219;3.645;2;7262.034;2.955;3.662;5.045;0.607;0.012;-1.252;0.779;0.179;0.019;0.0;1.0
1;1;3976;1665;310;840.116;2.879;5.694;4.082;1.203;1.612;0.409;4.168;4.109;4.051;3.383;2;6939.645;2.815;3.567;4.772;0.496;0.219;-1.128;0.704;0.169;0.017;0.0;1.0
1;1;3806;1665;324;842.247;2.801;5.65;4.195;1.395;1.454;0.06;4.161;4.096;4.029;3.012;2;6928.877;2.849;3.483;4.78;0.532;-0.056;-1.176;0.729;0.175;0.018;0.0;1.0
1;0;3873;1665;331;807.26;2.932;5.963;4.356;1.423;1.608;0.184;4.389;4.326;4.263;3.704;2;7307.678;3.031;3.832;5.002;0.537;0.009;-0.961;0.733;0.167;0.018;0.0;1.0
1;0;3978;1665;396;839.937;2.91;5.8;4.255;1.346;1.544;0.198;4.319;4.254;4.19;3.735;2;7190.593;2.89;3.671;5.002;0.547;0.03;-1.268;0.74;0.171;0.018;0.0;1.0
1;0;4028;1665;365;832.189;2.657;6.719;4.134;1.478;2.584;1.107;4.176;4.102;4.027;4.301;2;6953.342;4.062;3.473;4.865;0.612;0.092;-0.957;0.782;0.187;0.019;0.0;1.0
1;0;4248;1665;348;833.624;2.637;9.196;4.091;1.454;5.106;3.652;4.202;4.105;4.013;4.04;2;6995.603;6.56;3.465;4.84;0.867;0.939;2.223;0.931;0.222;0.023;0.0;1.0
1;0;4301;1665;363;832.923;2.749;12.324;4.24;1.491;8.084;6.593;4.393;4.283;4.184;4.11;2;7313.952;9.574;3.593;5.037;1.091;1.528;5.597;1.044;0.238;0.026;0.0;1.0
1;0;4397;1665;343;843.353;2.572;11.395;3.964;1.392;7.431;6.039;4.021;3.927;3.838;2.668;2;6695.131;8.822;3.279;4.632;0.814;1.138;4.619;0.902;0.224;0.022;0.0;1.0
1;0;4450;1665;333;845.096;2.944;11.048;4.594;1.65;6.454;4.804;4.713;4.604;4.5;3.199;2;7847.852;8.103;3.857;5.417;1.093;0.858;1.76;1.045;0.222;0.026;0.0;1.0
1;0;4627;1665;375;830.243;3.235;9.352;5.469;2.234;3.883;1.648;5.3;5.207;5.108;3.563;2;8824.902;6.117;4.761;5.935;0.932;-0.127;0.243;0.965;0.182;0.024;0.0;1.0
1;0;4829;1665;353;841.099;2.791;26.434;5.07;2.279;21.364;19.085;5.834;5.38;5.039;3.261;2;9714.241;23.643;4.502;6.131;7.384;2.153;6.112;2.717;0.466;0.067;0.0;1.0
1;0;4861;1665;292;823.164;2.579;42.979;4.708;2.128;38.271;36.143;8.503;6.435;5.294;2.923;2;14157.59;40.4;4.135;10.857;56.295;1.927;3.464;7.503;0.882;0.184;0.0;1.0
1;0;4927;1665;312;831.013;2.528;32.271;4.571;2.043;27.701;25.658;6.238;5.332;4.76;2.66;2;10386.946;29.743;3.98;7.036;18.197;2.335;6.263;4.266;0.684;0.105;0.0;1.0
1;0;5068;1665;282;842.401;2.248;66.821;4.326;2.078;62.496;60.417;9.838;6.564;5.03;2.407;2;16380.118;64.574;3.877;12.281;114.476;2.229;5.34;10.699;1.088;0.262;0.0;1.0
1;0;5189;1665;281;817.0;2.183;88.392;4.304;2.12;84.088;81.968;10.76;6.783;5.038;2.45;2;17914.834;86.208;3.666;13.527;159.808;2.403;6.458;12.642;1.175;0.31;0.0;1.0
1;0;5440;1665;284;828.37;1.898;162.104;4.172;2.274;157.932;155.657;15.946;7.323;4.812;3.2;2;26550.481;160.206;3.334;12.718;627.217;2.505;6.134;25.044;1.571;0.614;0.0;1.0
1;0;5530;1665;289;826.772;1.974;153.587;4.052;2.078;149.535;147.457;15.321;7.047;4.697;3.08;2;25510.253;151.613;3.284;12.402;587.059;2.591;6.905;24.229;1.581;0.594;0.0;1.0
1;0;5570;1665;277;815.903;1.81;214.315;3.518;1.708;210.797;209.089;17.895;6.68;4.284;2.161;2;29794.643;212.505;3.026;10.356;1110.576;2.853;8.191;33.325;1.862;0.817;0.0;1.0
1;0;5683;1665;317;828.508;1.912;225.333;3.29;1.378;222.043;220.665;19.695;6.479;4.044;3.072;2;32792.778;223.421;2.96;13.448;1417.479;2.726;7.194;37.649;1.912;0.923;0.0;1.0
1;0;5805;1665;293;813.365;1.98;204.487;3.244;1.264;201.243;199.979;19.321;6.538;4.039;2.09;2;32170.261;202.507;2.913;13.467;1215.237;2.538;6.36;34.86;1.804;0.854;0.0;1.0
1;0;5734;1665;319;822.517;1.968;120.887;3.318;1.35;117.569;116.219;16.141;6.426;4.131;2.958;2;26875.581;118.919;3.007;13.705;676.792;2.103;3.423;26.015;1.612;0.638;0.0;1.0
1;0;5661;1665;315;808.003;1.874;170.293;3.088;1.214;167.205;165.991;17.345;6.003;3.783;2.83;2;28879.601;168.419;2.76;11.472;966.435;2.382;4.947;31.088;1.792;0.762;0.0;1.0
1;0;5599;1665;310;832.852;1.874;174.203;3.294;1.42;170.909;169.49;16.598;6.313;4.067;2.263;2;27635.696;172.329;2.927;13.153;836.228;2.526;6.025;28.918;1.742;0.709;0.0;1.0
1;0;5565;1665;300;845.25;1.979;202.174;3.255;1.276;198.919;197.644;17.421;6.331;4.014;2.722;3;29006.649;200.195;2.884;12.881;947.143;2.551;6.577;30.776;1.767;0.754;0.0;1.0
1;2;5455;1665;308;845.688;1.796;157.58;3.142;1.346;154.438;153.092;15.424;6.008;3.856;2.6;2;25680.733;155.784;2.802;14.31;664.695;2.373;5.331;25.782;1.672;0.632;0.0;1.0
1;2;5277;1665;322;823.807;2.035;222.874;3.542;1.506;219.332;217.826;17.163;6.464;4.29;3.206;2;28575.898;220.839;3.188;9.413;1081.914;3.069;9.932;32.892;1.917;0.806;0.0;1.0
1;2;4924;1665;311;845.91;2.413;30.798;4.512;2.098;26.286;24.188;6.566;5.431;4.744;2.702;2;10932.498;28.385;3.821;7.451;23.513;2.007;3.811;4.849;0.738;0.119;0.0;1.0
1;2;4834;1665;321;812.48;2.495;29.637;4.575;2.08;25.062;22.982;6.282;5.388;4.803;2.742;2;10459.077;27.142;3.98;7.181;16.731;1.939;3.753;4.09;0.651;0.1;0.0;1.0
1;0;4770;1665;328;841.591;2.468;28.499;4.585;2.118;23.913;21.796;5.788;5.153;4.702;4.538;2;9636.444;26.031;4.051;6.553;10.393;1.96;4.778;3.224;0.557;0.079;0.0;1.0
1;0;4657;1665;328;827.628;2.406;26.849;4.33;1.924;22.519;20.594;5.613;4.919;4.465;3.834;2;9346.03;24.443;3.867;6.097;12.097;2.256;5.784;3.478;0.62;0.085;0.0;1.0
1;0;4527;1665;391;828.043;3.358;9.227;5.526;2.168;3.701;1.533;5.322;5.232;5.136;5.059;2;8860.323;5.869;4.606;5.946;0.905;-0.163;-0.078;0.952;0.179;0.023;0.0;1.0
