id;direction;distance;len;Кол-во пиков;Сред.зн.пика;Min;Max;Медиана;Смещение низ;Смещение верх;Смещение;Mean;Геом.сред.;Гарм.сред.;Сумма;Размах;Ниж.квартиль;Верх.квартиль;Дисперсия;Асимметрия;Куртозис;Std откл.; Коэф.вариации;Std ошибка
1;4;5695;1665;361;832.064;2.424;44.232;3.555;1.131;40.677;2.705;4.276;3.851;3.647;7119.596;41.808;3.041;4.16;9.854;6.084;48.803;3.139;0.734;0.077
1;4;6042;1665;321;839.218;2.412;92.863;4.022;1.61;88.842;1.78;5.687;4.473;4.026;9468.365;90.451;3.223;4.868;48.842;5.724;42.184;6.989;1.229;0.171
1;2;5258;1665;322;833.736;2.661;46.979;4.13;1.468;42.849;3.313;4.978;4.451;4.189;8288.903;44.317;3.447;4.943;13.612;5.546;39.469;3.689;0.741;0.09
1;2;5572;1665;364;841.082;2.444;30.834;3.77;1.326;27.063;4.671;4.351;4.007;3.82;7245.077;28.389;3.261;4.431;6.904;5.34;35.928;2.627;0.604;0.064
1;2;6154;1665;352;816.301;2.381;72.661;4.056;1.675;68.605;2.384;5.574;4.444;4.008;9280.353;70.28;3.176;4.837;41.189;5.251;34.096;6.418;1.151;0.157
1;4;5562;1665;369;830.266;3.003;24.236;4.522;1.519;19.714;7.153;4.83;4.626;4.493;8041.911;21.233;3.897;5.219;3.647;5.228;36.608;1.91;0.395;0.047
1;2;5816;1665;347;812.68;2.479;41.366;3.687;1.208;37.679;3.106;4.628;4.051;3.783;7705.215;38.887;3.096;4.362;14.174;5.107;32.252;3.765;0.814;0.092
1;2;5828;1665;356;829.197;2.57;49.42;3.835;1.265;45.585;2.7;4.917;4.272;3.976;8187.405;46.85;3.196;4.629;17.061;5.046;31.566;4.13;0.84;0.101
1;2;5913;1665;345;836.043;2.359;40.758;3.576;1.217;37.181;3.169;4.564;3.971;3.704;7598.246;38.398;3.064;4.264;14.803;5.019;29.981;3.847;0.843;0.094
1;4;5758;1665;345;820.51;2.328;35.949;3.43;1.102;32.519;3.277;4.282;3.788;3.552;7130.009;33.621;2.909;4.057;10.869;4.981;29.885;3.297;0.77;0.081
1;2;5569;1665;324;813.148;2.612;70.639;4.226;1.615;66.412;2.374;5.514;4.627;4.232;9180.279;68.027;3.34;5.061;26.983;4.966;32.868;5.195;0.942;0.127
1;4;5475;1665;357;835.146;3.027;28.25;4.347;1.319;23.903;5.231;4.869;4.597;4.439;8106.955;25.222;3.804;5.103;5.394;4.952;30.725;2.322;0.477;0.057
1;4;5850;1665;339;828.239;2.762;76.479;4.631;1.869;71.848;2.535;6.063;5.043;4.595;10094.438;73.717;3.633;5.565;34.441;4.948;32.511;5.869;0.968;0.144
1;4;5916;1665;365;841.052;2.424;33.292;3.593;1.17;29.699;3.789;4.371;3.904;3.677;7278.195;30.868;3.026;4.236;10.311;4.927;28.676;3.211;0.735;0.079
1;2;5492;1665;397;817.249;2.616;22.981;3.853;1.237;19.128;6.072;4.274;4.05;3.917;7116.746;20.365;3.4;4.523;3.831;4.905;28.987;1.957;0.458;0.048
1;2;5751;1665;365;830.658;2.325;35.026;3.392;1.067;31.635;3.262;4.305;3.769;3.517;7168.657;32.701;2.864;4.016;11.965;4.862;28.332;3.459;0.803;0.085
1;4;5955;1665;305;853.092;2.905;83.901;4.582;1.677;79.319;2.07;6.735;5.26;4.723;11213.239;80.995;3.731;5.766;66.011;4.848;27.158;8.125;1.206;0.199
1;4;5576;1665;378;830.505;2.837;28.395;4.157;1.32;24.238;5.164;4.711;4.392;4.214;7844.515;25.558;3.617;4.895;6.449;4.846;28.059;2.539;0.539;0.062
1;2;5480;1665;335;831.728;2.895;63.66;4.494;1.599;59.166;2.632;5.944;5.021;4.6;9896.02;60.765;3.649;5.391;29.022;4.832;30.786;5.387;0.906;0.132
1;4;6541;1665;334;860.246;2.753;68.166;4.449;1.696;63.718;2.592;5.833;4.85;4.434;9711.731;65.413;3.586;5.042;31.915;4.81;30.179;5.649;0.969;0.138
